                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1176,                  3.045,                 2.3517,                 1.4407,                0.46045,                0.41065,                0.39318,                0.29211,                0.43316,                0.37469,                0.33717,                0.22332,                 1.1571,                 2.8275,                 1.7845,                 1.5487,              0.0033255,              0.0033255,              0.0033255
                      2,                 1.0709,                 2.8093,                 1.6692,                 1.3855,                 0.4405,                0.42375,                0.40694,                0.29806,                0.39932,                0.37952,                0.34476,                0.22408,                 1.1817,                 2.8604,                 1.7581,                 1.5892,              0.0065929,              0.0065929,              0.0065929
                      3,                  1.127,                 2.9199,                 1.7355,                 1.4471,                0.41789,                0.26394,                0.26579,                0.18179,                0.37347,                0.23112,                0.20048,                0.12729,                  1.391,                 3.5091,                  2.271,                  1.829,              0.0097943,              0.0097943,              0.0097943
                      4,                 1.1471,                 2.9524,                 1.7638,                 1.4712,                0.54363,                0.33319,                0.36061,                0.26646,                0.52041,                0.30589,                0.31719,                0.20281,                 1.2455,                 3.0072,                 1.9125,                 1.6648,               0.009703,               0.009703,               0.009703
                      5,                 1.1231,                 2.9222,                 1.6848,                 1.4527,                0.52435,                0.44658,                0.43216,                0.31741,                0.49139,                0.41236,                0.38049,                0.24718,                 1.2161,                 2.8762,                 1.7149,                 1.6585,               0.009703,               0.009703,               0.009703
                      6,                 1.1008,                 2.8581,                 1.6098,                 1.4366,                0.47802,                0.40045,                0.40193,                0.29206,                0.49199,                0.35532,                 0.3583,                0.22855,                 1.1948,                  2.817,                 1.7183,                 1.6123,               0.009604,               0.009604,               0.009604
                      7,                 1.0874,                 2.8173,                 1.5645,                  1.425,                0.56853,                 0.4518,                0.47678,                 0.3601,                0.53821,                0.41957,                0.42176,                0.27899,                 1.1407,                 2.7973,                 1.5687,                 1.5802,               0.009505,               0.009505,               0.009505
                      8,                 1.0716,                 2.7862,                 1.5289,                 1.4098,                0.59682,                0.45684,                0.49622,                0.36871,                0.56652,                0.42733,                 0.4413,                0.29313,                 1.1281,                 2.7296,                 1.4766,                  1.548,               0.009406,               0.009406,               0.009406
                      9,                 1.0737,                  2.802,                 1.5104,                 1.4069,                0.55378,                0.52433,                  0.521,                0.39395,                0.52675,                0.47833,                0.46833,                0.31076,                 1.1018,                 2.6618,                 1.4366,                  1.519,               0.009307,               0.009307,               0.009307
                     10,                 1.0566,                 2.7577,                 1.4746,                 1.3943,                0.58313,                0.48317,                0.52336,                0.40437,                0.54966,                0.44917,                 0.4715,                0.32161,                 1.0912,                  2.657,                  1.447,                 1.5209,               0.009208,               0.009208,               0.009208
                     11,                 1.0495,                 2.7486,                  1.453,                 1.3908,                0.67326,                0.46732,                0.54064,                0.41476,                0.62347,                0.43325,                0.48228,                0.32462,                 1.0865,                 2.6385,                  1.395,                 1.5163,               0.009109,               0.009109,               0.009109
                     12,                  1.063,                 2.7582,                 1.4498,                 1.3967,                0.62253,                0.52265,                0.57009,                0.43669,                0.58357,                0.48648,                0.51446,                0.34863,                 1.0757,                 2.5674,                  1.327,                 1.4934,                0.00901,                0.00901,                0.00901
                     13,                  1.034,                 2.6685,                 1.4128,                  1.385,                0.66282,                0.51021,                 0.5796,                 0.4475,                0.64752,                0.48008,                0.53502,                0.35967,                 1.0572,                 2.5453,                 1.3211,                 1.4836,               0.008911,               0.008911,               0.008911
                     14,                 1.0379,                  2.714,                 1.4003,                 1.3849,                0.66709,                0.52652,                 0.5855,                0.45282,                0.67061,                0.48491,                0.54049,                 0.3633,                 1.0633,                 2.5448,                    1.3,                 1.4833,               0.008812,               0.008812,               0.008812
                     15,                 1.0331,                 2.6948,                 1.3922,                 1.3815,                0.65029,                0.54547,                0.59468,                 0.4583,                0.62572,                0.51106,                 0.5386,                0.36582,                 1.0552,                 2.5157,                 1.2793,                 1.4937,               0.008713,               0.008713,               0.008713
                     16,                 1.0365,                 2.6812,                 1.3749,                 1.3808,                0.64894,                 0.5582,                0.60681,                0.47027,                0.61943,                0.52822,                0.55388,                0.37493,                  1.048,                 2.4842,                 1.2456,                 1.4707,               0.008614,               0.008614,               0.008614
                     17,                 1.0268,                 2.6559,                 1.3639,                  1.373,                0.70639,                0.54773,                0.62413,                0.48704,                0.69298,                0.51923,                0.58186,                0.38978,                 1.0411,                 2.4647,                 1.2004,                 1.4665,               0.008515,               0.008515,               0.008515
                     18,                 1.0219,                   2.65,                 1.3539,                 1.3669,                0.68015,                0.57167,                0.63734,                0.50177,                0.63796,                0.54963,                0.58861,                0.40127,                 1.0291,                 2.4511,                  1.176,                 1.4478,               0.008416,               0.008416,               0.008416
                     19,                 1.0264,                  2.666,                 1.3473,                 1.3673,                0.69306,                0.58735,                0.64524,                0.50787,                0.67009,                0.56233,                0.59573,                0.40607,                   1.03,                 2.4243,                 1.1585,                 1.4405,               0.008317,               0.008317,               0.008317
