                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2619,                 3.5003,                 2.8651,                 1.6282,                0.41344,                0.34176,                0.31191,                0.21951,                0.38437,                0.30176,                0.25445,                  0.155,                 1.2776,                 3.2084,                  2.349,                 1.7698,              0.0033221,              0.0033221,              0.0033221
                      2,                 1.2325,                 3.2422,                 2.1968,                 1.5599,                0.42839,                0.34976,                0.32944,                0.23642,                0.41378,                0.30551,                0.27551,                0.16923,                 1.3289,                 3.3529,                 2.3513,                 1.8006,              0.0065895,              0.0065895,              0.0065895
                      3,                 1.2832,                 3.2449,                 2.2174,                  1.611,                0.32796,                0.23289,                 0.1856,                 0.1159,                0.29603,                0.20526,                0.14608,                0.07966,                 1.6035,                 4.0697,                 2.9989,                 2.1631,               0.009791,               0.009791,               0.009791
                      4,                 1.3389,                 3.4125,                 2.3843,                 1.6617,                0.28499,                0.30029,                 0.2322,                0.14809,                0.25715,                0.26071,                0.19004,                0.10384,                 1.4861,                 3.6571,                  2.673,                 1.9721,               0.009703,               0.009703,               0.009703
                      5,                 1.3513,                 3.4359,                 2.3399,                 1.6723,                0.38044,                0.31232,                0.27395,                0.18424,                0.36097,                0.26817,                0.22138,                0.12674,                 1.4204,                 3.5465,                 2.4203,                 1.9105,               0.009703,               0.009703,               0.009703
                      6,                  1.284,                 3.3182,                 2.1938,                 1.6252,                   0.43,                 0.3401,                0.32253,                0.22194,                0.39983,                0.29802,                0.26369,                0.15225,                 1.3805,                 3.3912,                 2.2896,                 1.8364,               0.009604,               0.009604,               0.009604
                      7,                 1.2833,                 3.2759,                 2.1762,                 1.6157,                0.39836,                0.36511,                0.33598,                0.23173,                 0.4054,                0.29748,                0.27545,                0.16382,                 1.3774,                 3.3462,                 2.2609,                   1.85,               0.009505,               0.009505,               0.009505
                      8,                 1.2794,                 3.2423,                 2.1048,                 1.6127,                0.47524,                0.35345,                0.35019,                0.24572,                 0.4455,                0.29454,                0.28864,                0.17536,                  1.352,                 3.3043,                 2.2071,                 1.8252,               0.009406,               0.009406,               0.009406
                      9,                 1.2479,                 3.2088,                 2.0312,                 1.5913,                0.44996,                0.36568,                0.34918,                0.24214,                0.41769,                0.33023,                0.29232,                0.16859,                 1.3656,                 3.3007,                 2.1864,                 1.8481,               0.009307,               0.009307,               0.009307
                     10,                 1.2396,                 3.1239,                 2.0107,                 1.5791,                0.46225,                0.40399,                0.38792,                0.27046,                0.43324,                0.35666,                0.33013,                0.20239,                 1.3333,                 3.1638,                 2.0557,                 1.8025,               0.009208,               0.009208,               0.009208
                     11,                 1.2237,                 3.1056,                 1.9343,                 1.5726,                0.48999,                0.40631,                0.39933,                0.28387,                0.44665,                 0.3687,                0.33869,                0.20617,                 1.2937,                 3.1701,                 2.0506,                 1.7564,               0.009109,               0.009109,               0.009109
                     12,                 1.2076,                 3.0885,                 1.9076,                 1.5549,                0.46419,                0.42231,                0.41371,                0.29925,                 0.4345,                0.37544,                0.35066,                0.21384,                 1.2781,                 3.0973,                 1.9764,                 1.7434,                0.00901,                0.00901,                0.00901
                     13,                  1.202,                 3.0575,                  1.906,                 1.5474,                0.51985,                0.42025,                0.42902,                0.30737,                0.49028,                0.37765,                0.36401,                 0.2238,                 1.2742,                 3.0772,                 1.9013,                 1.7289,               0.008911,               0.008911,               0.008911
                     14,                 1.2012,                 3.0918,                  1.857,                 1.5463,                0.51421,                0.45631,                0.45625,                 0.3311,                0.47711,                0.40802,                0.39065,                0.24375,                 1.2572,                 3.0448,                 1.8565,                 1.7015,               0.008812,               0.008812,               0.008812
                     15,                 1.1967,                 3.0715,                  1.846,                 1.5493,                  0.517,                0.44217,                0.45012,                0.32236,                 0.5026,                0.39285,                0.38373,                0.23575,                 1.2645,                 3.0239,                 1.8552,                 1.7223,               0.008713,               0.008713,               0.008713
                     16,                 1.1779,                 3.0285,                 1.7914,                 1.5245,                0.55361,                0.42118,                 0.4495,                0.32412,                 0.5194,                0.37759,                0.38154,                0.23375,                 1.2527,                 3.0466,                 1.8342,                 1.7246,               0.008614,               0.008614,               0.008614
